budget_imdb;rating_imdb;votes_imdb;director_imdb;popularity_imdb;wins;nominations;oscars_won;bin_oscar_nom;revenue
-1;6.8;57;Emanuel Gregers;NaN;0;0;0;0;0
-1;7.8;59;Johann von Vásáry (as Vásáry János);NaN;0;0;0;0;0
-1;7.9;7089;;NaN;1;1;1;1;0
-1;7.6;10595;William Wyler;NaN;3;3;2;1;0
-1;7.5;5468;Edwin L. Marin;NaN;0;0;0;0;0
-1;6.7;79;Nate Watt;NaN;0;0;0;0;0
-1;7.1;451;Oskar Fischinger (uncredited);NaN;0;0;0;0;0
-1;7.3;4725;Norman Taurog;NaN;0;1;2;1;0
-1;5.6;52;Joseph Cornell;NaN;0;0;0;0;0
-1;6.7;1094;;NaN;0;2;1;1;0
-1;6.5;796;;NaN;0;0;1;1;0
-1;6.8;433;Harold S. Bucquet;NaN;0;0;0;0;0
-1;6.9;1889;Henry King;NaN;0;4;2;1;0
-1;6.0;5;Svend Methling;NaN;0;0;0;0;0
-1;7.0;240;Frank Tashlin;NaN;0;0;0;0;0
-1;6.0;63;Dave Fleischer;NaN;0;0;0;0;0
-1;7.1;385;Abel Gance;NaN;0;0;0;0;0
-1;6.8;470;Jack Cutting (uncredited);NaN;0;0;0;0;0
-1;6.9;217;George Archainbaud;NaN;0;0;0;0;0
400176459;8.2;262007;;863;10;10;8;1;400176459
-1;8.0;349192;;920;7;7;2;1;0
-1;8.2;97437;Frank Capra;NaN;4;4;1;1;0
-1;7.9;37684;John Ford;NaN;5;5;2;1;0
-1;5.9;8;;NaN;0;0;0;0;0
-1;7.8;891;;NaN;0;1;1;1;0
-1;7.7;719;Marcel Varnel;NaN;0;0;0;0;0
-1;7.7;14771;William Wyler;NaN;5;5;1;1;0
-1;;;Henri Cartier-Bresson;NaN;0;0;0;0;0
-1;6.2;35;Humphrey Jennings;NaN;0;0;0;0;0
-1;7.1;192;Robert Clampett;NaN;0;0;0;0;0
-1;7.1;254;Edmund Goulding;NaN;2;0;0;0;0
-1;7.5;76;Isidor Annensky;NaN;0;0;0;0;0
-1;5.0;34;Erle C. Kenton;NaN;0;0;0;0;0
-1;6.1;108;Jacques Tourneur;NaN;0;0;0;0;0
-1;6.1;25;Charles Lamont;NaN;0;0;0;0;0
-1;7.0;166;Clarence Brown;NaN;0;5;1;1;0
-1;6.4;33;Aleksandr Macheret (as A. Macheret);NaN;0;0;0;0;0
-1;6.5;1841;Lloyd Bacon;NaN;0;0;0;0;0
-1;7.5;114669;;2609;4;0;2;1;0
7592465;8.1;109891;Alfred Hitchcock;NaN;5;5;2;1;7592465
-1;;;;NaN;0;0;0;0;0
-1;8.1;80194;John Ford;4790;8;8;2;1;0
-1;7.6;3874;Anatole Litvak;NaN;0;0;0;0;0
-1;8.0;58119;George Cukor;4544;3;3;2;1;0
-1;7.4;1532;John Cromwell;NaN;0;0;0;0;0
-1;7.5;10656;;NaN;0;3;3;1;0
-1;7.0;2829;Sam Wood;NaN;0;1;1;1;0
-1;7.4;6808;Robert Z. Leonard;NaN;0;0;1;1;0
-1;6.4;30;Humphrey Jennings;NaN;0;0;0;0;0
1096000;5.7;964;George Cukor;NaN;0;0;0;0;1096000
-1;7.5;4453;William Wyler;NaN;0;1;1;1;0
-1;6.6;1306;Cecil B. DeMille;NaN;0;1;1;1;0
-1;6.3;157;;NaN;0;0;0;0;0
-1;8.1;387;Del Lord;NaN;0;0;0;0;0
-1;7.0;626;Mitchell Leisen;NaN;0;3;1;1;0
-1;6.7;2528;Fritz Lang;NaN;0;0;0;0;0
-1;7.1;133;Otakar Vávra;NaN;0;0;0;0;0
-1;5.8;29;Alex Lovy;NaN;0;0;0;0;0
-1;6.3;234;Alfred E. Green;NaN;0;0;0;0;0
-1;7.0;1225;Busby Berkeley;NaN;0;2;1;1;0
